county,gender,age,year,deaths,pop
"Adams County, WA",Female,65-74 years,2014,12,545
"Adams County, WA",Female,65-74 years,2017,11,652
"Adams County, WA",Female,65-74 years,2018,10,664
"Adams County, WA",Female,75-84 years,2010,16,314
"Adams County, WA",Female,75-84 years,2011,14,311
"Adams County, WA",Female,75-84 years,2012,17,297
"Adams County, WA",Female,75-84 years,2013,13,304
"Adams County, WA",Female,75-84 years,2014,13,313
"Adams County, WA",Female,75-84 years,2015,10,316
"Adams County, WA",Female,75-84 years,2016,15,322
"Adams County, WA",Female,75-84 years,2017,11,316
"Adams County, WA",Female,75-84 years,2019,15,334
"Adams County, WA",Female,85+ years,2010,13,175
"Adams County, WA",Female,85+ years,2011,21,173
"Adams County, WA",Female,85+ years,2012,20,167
"Adams County, WA",Female,85+ years,2013,22,173
"Adams County, WA",Female,85+ years,2014,30,168
"Adams County, WA",Female,85+ years,2015,27,152
"Adams County, WA",Female,85+ years,2016,23,147
"Adams County, WA",Female,85+ years,2017,18,136
"Adams County, WA",Female,85+ years,2018,16,132
"Adams County, WA",Female,85+ years,2019,21,137
"Asotin County, WA",Female,55-64 years,2010,10,1588
"Asotin County, WA",Female,55-64 years,2011,11,1682
"Asotin County, WA",Female,55-64 years,2012,12,1708
"Asotin County, WA",Female,55-64 years,2013,12,1730
"Asotin County, WA",Female,55-64 years,2014,13,1783
"Asotin County, WA",Female,55-64 years,2015,12,1820
"Asotin County, WA",Female,55-64 years,2016,11,1874
"Asotin County, WA",Female,55-64 years,2018,15,1905
"Asotin County, WA",Female,65-74 years,2010,12,1172
"Asotin County, WA",Female,65-74 years,2011,23,1184
"Asotin County, WA",Female,65-74 years,2012,17,1274
"Asotin County, WA",Female,65-74 years,2013,25,1302
"Asotin County, WA",Female,65-74 years,2014,26,1358
"Asotin County, WA",Female,65-74 years,2015,22,1378
"Asotin County, WA",Female,65-74 years,2016,18,1423
"Asotin County, WA",Female,65-74 years,2017,19,1475
"Asotin County, WA",Female,65-74 years,2018,29,1503
"Asotin County, WA",Female,65-74 years,2019,26,1535
"Asotin County, WA",Female,75-84 years,2010,27,748
"Asotin County, WA",Female,75-84 years,2011,35,742
"Asotin County, WA",Female,75-84 years,2012,38,740
"Asotin County, WA",Female,75-84 years,2013,37,744
"Asotin County, WA",Female,75-84 years,2014,26,746
"Asotin County, WA",Female,75-84 years,2015,21,755
"Asotin County, WA",Female,75-84 years,2016,31,773
"Asotin County, WA",Female,75-84 years,2017,31,858
"Asotin County, WA",Female,75-84 years,2018,37,912
"Asotin County, WA",Female,75-84 years,2019,38,933
"Asotin County, WA",Female,85+ years,2010,35,334
"Asotin County, WA",Female,85+ years,2011,48,348
"Asotin County, WA",Female,85+ years,2012,49,347
"Asotin County, WA",Female,85+ years,2013,48,350
"Asotin County, WA",Female,85+ years,2014,43,362
"Asotin County, WA",Female,85+ years,2015,45,345
"Asotin County, WA",Female,85+ years,2016,39,350
"Asotin County, WA",Female,85+ years,2017,39,347
"Asotin County, WA",Female,85+ years,2018,43,366
"Asotin County, WA",Female,85+ years,2019,49,365
"Benton County, WA",Female,55-64 years,2010,60,10610
"Benton County, WA",Female,55-64 years,2011,60,11318
"Benton County, WA",Female,55-64 years,2012,60,11475
"Benton County, WA",Female,55-64 years,2013,73,11565
"Benton County, WA",Female,55-64 years,2014,67,11819
